Date,Price_Oil,Price_Dollar,Price_Gold
3/4/20,47.34,97.34,"1,637.70"
3/3/20,47.18,97.15,"1,644.40"
3/2/20,46.75,97.36,"1,594.80"
3/1/20,44.76,98.13,"1,566.70"
2/29/20,47.09,98.51,"1,642.50"
2/28/20,48.73,99,"1,643.10"
2/27/20,49.9,98.97,"1,650.00"
2/26/20,51.43,99.36,"1,676.60"
2/25/20,53.38,99.26,"1,648.80"
2/24/20,53.78,99.86,"1,620.50"
2/23/20,53.29,99.7,"1,611.80"
2/22/20,52.05,99.44,"1,603.60"
2/21/20,52.2,99,"1,587.05"
2/20/20,52.36,99.12,"1,586.25"
2/19/20,52.05,99.07,"1,586.40"
2/18/20,51.42,99.05,"1,578.80"
2/17/20,51.17,98.72,"1,571.60"
2/16/20,49.94,98.83,"1,570.10"
2/15/20,49.57,98.68,"1,579.50"
2/14/20,50.32,98.5,"1,573.40"
2/13/20,50.95,98.3,"1,570.00"
2/12/20,50.75,97.96,"1,562.80"
2/11/20,49.61,97.8,"1,555.50"
2/10/20,50.11,97.39,"1,582.40"
2/9/20,51.56,97.87,"1,587.90"
2/8/20,52.14,97.99,"1,589.20"
2/7/20,53.33,98.02,"1,576.00"
2/6/20,53.48,97.96,"1,575.80"
2/5/20,53.14,97.85,"1,583.70"
2/4/20,54.19,97.69,"1,578.20"
2/3/20,55.59,97.53,"1,571.60"
2/2/20,56.74,97.53,"1,562.90"
2/1/20,58.34,97.61,"1,564.10"
1/31/20,58.73,97.64,"1,561.25"
1/30/20,59.27,97.32,"1,557.05"
1/29/20,58.54,97.23,"1,566.50"
1/28/20,58.52,97.37,"1,556.50"
1/27/20,57.81,97.34,"1,560.10"
1/26/20,58.23,97.36,"1,550.90"
1/25/20,58.08,97.45,"1,557.00"
1/24/20,59.04,97.3,"1,566.40"
1/23/20,59.56,97,"1,560.60"
1/22/20,59.61,96.67,"1,566.50"
1/21/20,62.7,96.84,"1,580.50"
1/20/20,63.27,96.85,"1,575.10"
1/19/20,63.05,96.39,"1,558.70"
1/18/20,61.18,96.39,"1,534.30"
1/17/20,61.33,96.74,"1,520.95"
1/16/20,61.06,96.92,"1,529.30"
1/15/20,61.68,97.53,"1,524.60"
1/14/20,61.72,97.65,"1,524.10"
1/13/20,61.68,97.65,"1,520.30"
1/12/20,61.19,97.66,"1,504.05"
1/11/20,61.11,97.69,"1,510.60"
1/10/20,60.52,97.38,"1,494.40"
1/9/20,60.44,97.4,"1,486.60"
1/8/20,61.22,97.22,"1,490.00"
1/7/20,60.93,97.02,"1,484.40"
1/6/20,60.94,97.17,"1,486.40"
1/5/20,60.21,97.4,"1,486.10"
1/4/20,60.07,97.08,"1,486.90"
1/3/20,59.18,97.41,"1,477.90"
1/2/20,58.76,97.64,"1,480.60"
1/1/20,59.24,97.7,"1,473.70"
12/31/19,59.02,97.41,"1,470.50"
12/30/19,59.2,97.65,"1,470.70"
12/29/19,58.43,97.74,"1,488.60"
12/28/19,58.43,97.86,"1,485.60"
12/27/19,56.1,98.27,"1,489.90"
12/26/19,55.96,98.37,"1,474.60"
12/25/19,55.17,98.37,"1,478.10"
12/24/19,58.08,98.25,"1,462.25"
12/23/19,58.11,98.32,"1,466.00"
12/22/19,58.41,98.27,"1,472.70"
12/21/19,58.01,97.99,"1,469.50"
12/20/19,57.77,97.93,"1,476.20"
12/19/19,58.58,97.86,"1,476.10"
12/18/19,57.11,97.79,"1,486.50"
12/17/19,55.21,98,"1,486.70"
12/16/19,57.05,98.16,"1,484.30"
12/15/19,57.72,98.37,"1,480.80"
12/14/19,56.77,98.31,"1,485.60"
12/13/19,57.12,98.2,"1,475.50"
12/12/19,56.8,98.35,"1,465.90"
12/11/19,56.86,98.14,"1,469.40"
